trial_id,lambda_fair,unidades_capa1,unidades_capa2,dropout,auc_val,corr_abs_val,brecha_paridad_val
03,0.04256571358257688,64,8,0.2,0.7385399370203057,0.15537953906440152,0.06297508
01,0.06688397634275167,64,16,0.1,0.7362450531392235,0.12431251747146974,0.04992482
23,0.0723665742694708,32,24,0.1,0.7351561942197481,0.1209544320061105,0.047021717
17,0.030555320187374058,64,32,0.1,0.7368376994570459,0.1540231802523674,0.06237915
11,0.08109066462388448,64,8,0.1,0.738125624206314,0.11090115116229675,0.044935912
00,0.2718754143840908,48,8,0.1,0.7337307900089728,0.04607028513210612,0.018220484
13,0.19453724793318106,48,32,0.1,0.7337115061057835,0.06642046058609759,0.02585569
19,0.08730148686581662,48,32,0.1,0.7374979956384865,0.10293166228807389,0.040975213
07,0.27981547357298786,64,16,0.0,0.7318854780962407,0.0418951441199662,0.01704052
08,0.799115369116727,64,16,0.1,0.7337614695913295,0.008644466050252469,0.0034070313
05,0.414743999308679,64,16,0.1,0.732774362371635,0.030218681647235405,0.011860549
16,0.27958303860586786,48,8,0.0,0.7338414310485155,0.03674951493638907,0.014928132
22,0.493832650441572,48,16,0.1,0.7334508610078172,0.03330476183444352,0.0132115185
20,0.9000582191556544,48,8,0.2,0.7337897067352852,0.017345311432858373,0.00673458
21,0.5860977684559575,48,8,0.2,0.7344617465013632,0.0393099652958439,0.015361607
09,0.5059404137702477,64,8,0.0,0.7308802016908831,0.01809085865292283,0.0071156323
14,0.5811521325045647,32,16,0.0,0.729250314265141,0.014176124631164293,0.005606681
02,0.6171414766699522,32,8,0.2,0.7320676385602405,0.025907191009047845,0.009655654
04,0.4944874359794347,48,8,0.0,0.7323619878881183,0.02695203620763165,0.010799974
12,0.9123433593597492,16,8,0.1,0.7304265613585682,0.02368633940172028,0.009012431
18,0.24010303006625622,16,32,0.2,0.7278803335257558,0.077520515630881,0.026106745
10,0.1995887063541001,16,16,0.2,0.7290830356351194,0.045338068111196506,0.015323192
06,0.6842409524120733,16,8,0.2,0.7279484022959603,0.026875531134957262,0.009872317
24,0.5173208995067238,16,8,0.2,0.7299101560394373,0.04100586379491041,0.013949871
15,0.8780993490764925,16,32,0.2,0.7277110952649242,0.014331298503906392,0.0048327446
